"Player","BirthDate","BirthCity","BirthState","HighSchoolCity","HighSchoolState","College","BirthLat","BirthLong","HSLat","HSLong","CollegeNameGood","CollegeLat","CollegeLong","birthCityState","hsCityState","CityCount","HighSchoolCount","CollegeCount","BirthCountry","HighSchoolCountry","BirthContinent","HighSchoolContinent","Team1","Team2","Team3","Team4","Team5","Team6","Team7","Team8","Team9","Team10","Team11","Team12","Team13","Team14","Team15","Team16","Team1_Lat","Team1_Long","Team2_Lat","Team2_Long","Team3_Lat","Team3_Long","Team4_Lat","Team4_Long","Team5_Lat","Team5_Long","Team6_Lat","Team6_Long","Team7_Lat","Team7_Long","Team8_Lat","Team8_Long","Team9_Lat","Team9_Long","Team10_Lat","Team10_Long","Team11_Lat","Team11_Long","Team12_Lat","Team12_Long","Team13_Lat","Team13_Long","Team14_Lat","Team14_Long","Team15_Lat","Team15_Long","Team16_Lat","Team16_Long","FirstYear","LastYear"
"Byron Beck","January 25, 1945","Ellensburg","Washington","Ellensburg","Washington","University of Denver",46.99651,-120.54785,46.99651,-120.54785,"University of Denver",39.67772,-104.96144,"Ellensburg Washington","Ellensburg Washington",1,1,6,"United States of America","United States of America","Americas","Americas","Denver Colorado","Denver Colorado","Denver Colorado","","","","","","","","","","","","","",39.73915,-104.9847,39.73915,-104.9847,39.73915,-104.9847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1967-68","1976-77"
"Byron Dinkins","June 15, 1967","Charlotte","North Carolina","Charlotte","North Carolina","University of North Carolina at Charlotte",35.22709,-80.84313,35.22709,-80.84313,"University of North Carolina at Charlotte",35.22709,-80.84313,"Charlotte North Carolina","Charlotte North Carolina",12,11,8,"United States of America","United States of America","Americas","Americas","Houston Texas","San Antonio Texas","Indianapolis Indiana","","","","","","","","","","","","","",29.76328,-95.36327,29.42412,-98.49363,39.76838,-86.15804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1989-90","1990-91"
"Byron Houston","November 22, 1969","Watonga","Oklahoma","Oklahoma City","Oklahoma","Oklahoma State University",35.85988,-98.4197,35.46756,-97.51643,"Oklahoma State University",35.19804,-97.44459,"Watonga Oklahoma","Oklahoma City Oklahoma",1,9,25,"United States of America","United States of America","Americas","Americas","Oakland California","Seattle Washington","Sacramento California","","","","","","","","","","","","","",37.80437,-122.2708,47.60621,-122.33207,38.58157,-121.4944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1992-93","1995-96"
"Byron Irvin","December 2, 1966","La Grange","Illinois","Chicago","Illinois","University of Missouri",41.83475,-87.86173,41.85003,-87.65005,"University of Missouri",38.94587,-92.32768,"La Grange Illinois","Chicago Illinois",1,107,26,"United States of America","United States of America","Americas","Americas","Portland Oregon","Washington District of Columbia","Washington District of Columbia","","","","","","","","","","","","","",45.52345,-122.67621,38.89511,-77.03637,38.89511,-77.03637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1989-90","1992-93"
"Byron Mullens","February 14, 1989","Canal Winchester","Ohio","Canal Winchester","Ohio","Ohio State University",39.84284,-82.80462,39.84284,-82.80462,"Ohio State University",39.99618,-83.0188,"Canal Winchester Ohio","Canal Winchester Ohio",1,1,42,"United States of America","United States of America","Americas","Americas","Oklahoma City Oklahoma","Charlotte North Carolina","Los Angeles California","Philadelphia Pennsylvania","","","","","","","","","","","","",35.46756,-97.51643,35.22709,-80.84313,34.05223,-118.24368,39.95234,-75.16379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-10","2013-14"
"Byron Scott","March 28, 1961","Ogden","Utah","Inglewood","California","Arizona State University",41.223,-111.97383,33.96168,-118.35313,"Arizona State University",32.23188,-110.95347,"Ogden Utah","Inglewood California",3,11,26,"United States of America","United States of America","Americas","Americas","Los Angeles California","Indianapolis Indiana","Vancouver Canada","Los Angeles California","","","","","","","","","","","","",34.05223,-118.24368,39.76838,-86.15804,49.24966,-123.11934,34.05223,-118.24368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1983-84","1996-97"
"C.J. Kupec","January 16, 1953","Oak Lawn","Illinois","Oak Lawn","Illinois","University of Michigan",41.71087,-87.75811,41.71087,-87.75811,"University of Michigan",42.84031,-84.47982,"Oak Lawn Illinois","Oak Lawn Illinois",1,2,42,"United States of America","United States of America","Americas","Americas","Los Angeles California","Houston Texas","","","","","","","","","","","","","","",34.05223,-118.24368,29.76328,-95.36327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1975-76","1977-78"
"C.J. McCollum","September 19, 1991","Canton","Ohio","Canton","Ohio","Lehigh University",40.79895,-81.37845,40.79895,-81.37845,"Lehigh University",40.53816,-75.37685,"Canton Ohio","Canton Ohio",9,11,1,"United States of America","United States of America","Americas","Americas","Portland Oregon","","","","","","","","","","","","","","","",45.52345,-122.67621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013-14","2013-14"
"C.J. Miles","April 18, 1987","Dallas","Texas","Dallas","Texas","none",32.78306,-96.80667,32.78306,-96.80667,"",NA,NA,"Dallas Texas","Dallas Texas",36,32,0,"United States of America","United States of America","Americas","Americas","Salt Lake City Utah","Cleveland Ohio","","","","","","","","","","","","","","",40.76078,-111.89105,41.4995,-81.69541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2005-06","2013-14"
"C.J. Watson","April 17, 1984","Las Vegas","Nevada","Las Vegas","Nevada","University of Tennessee",36.17497,-115.13722,36.17497,-115.13722,"University of Tennessee",36.14811,-86.80305,"Las Vegas Nevada","Las Vegas Nevada",8,9,31,"United States of America","United States of America","Americas","Americas","Oakland California","Chicago Illinois","New York New York","Indianapolis Indiana","","","","","","","","","","","","",37.80437,-122.2708,41.85003,-87.65005,40.71427,-74.00597,39.76838,-86.15804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-08","2013-14"
"Cal Bowdler","March 31, 1977","Sharps","Virginia","Warsaw","Virginia","Old Dominion University",37.82403,-76.70079,37.95874,-76.75801,"Old Dominion University",37.78791,-79.44282,"Sharps Virginia","Warsaw Virginia",1,1,9,"United States of America","United States of America","Americas","Americas","Atlanta Georgia","","","","","","","","","","","","","","","",33.749,-84.38798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1999-00","2001-02"
"Cal Christensen","July 8, 1927","none","none","none","none","University of Toledo",NA,NA,NA,NA,"University of Toledo",41.66199,-83.61438,"none none","none none",677,684,11,"none","none","none","none","Moline Illinois","Milwaukee Wisconsin","Rochester New York","","","","","","","","","","","","","",41.5067,-90.51513,43.0389,-87.90647,43.15478,-77.61556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1950-51","1954-55"
"Cal Ramsey","July 13, 1937","Selma","Alabama","New York","New York","New York University",32.40736,-87.0211,40.71427,-74.00597,"New York University",40.72871,-73.99597,"Selma Alabama","New York New York",1,209,20,"United States of America","United States of America","Americas","Americas","St. Louis Missouri","New York New York","Syracuse New York","","","","","","","","","","","","","",38.62727,-90.19789,40.71427,-74.00597,43.04812,-76.14742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1959-60","1960-61"
"Calbert Cheaney","July 17, 1971","Evansville","Indiana","Evansville","Indiana","Indiana University",37.97476,-87.55585,37.97476,-87.55585,"Indiana University",40.41226,-86.93668,"Evansville Indiana","Evansville Indiana",3,6,55,"United States of America","United States of America","Americas","Americas","Washington District of Columbia","Washington District of Columbia","Boston Massachusetts","Denver Colorado","Salt Lake City Utah","Oakland California","","","","","","","","","","",38.89511,-77.03637,38.89511,-77.03637,42.35843,-71.05977,39.73915,-104.9847,40.76078,-111.89105,37.80437,-122.2708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1993-94","2005-06"
"Caldwell Jones","August 4, 1950","McGehee","Arkansas","Rohwer","Arkansas","Albany State University",33.629,-91.39956,33.76094,-91.27567,"Albany State University",41.31192,-105.57638,"McGehee Arkansas","Rohwer Arkansas",3,3,5,"United States of America","United States of America","Americas","Americas","San Diego California","San Diego California","Louisville Kentucky","St. Louis Missouri","Philadelphia Pennsylvania","Houston Texas","Chicago Illinois","Portland Oregon","San Antonio Texas","","","","","","","",32.71533,-117.15726,32.71533,-117.15726,38.25424,-85.75941,38.62727,-90.19789,39.95234,-75.16379,29.76328,-95.36327,41.85003,-87.65005,45.52345,-122.67621,29.42412,-98.49363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1973-74","1989-90"
"Calvin Booth","May 7, 1976","Reynoldsburg","Ohio","Reynoldsburg","Ohio","Pennsylvania State University",39.95479,-82.81212,39.95479,-82.81212,"Pennsylvania State University",39.95095,-75.19351,"Reynoldsburg Ohio","Reynoldsburg Ohio",1,1,10,"United States of America","United States of America","Americas","Americas","Washington District of Columbia","Washington District of Columbia","Dallas Texas","Seattle Washington","Dallas Texas","Milwaukee Wisconsin","Washington District of Columbia","Philadelphia Pennsylvania","Minneapolis Minnesota","Sacramento California","","","","","","",38.89511,-77.03637,38.89511,-77.03637,32.78306,-96.80667,47.60621,-122.33207,32.78306,-96.80667,43.0389,-87.90647,38.89511,-77.03637,39.95234,-75.16379,44.97997,-93.26384,38.58157,-121.4944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1999-00","2008-09"
"Calvin Fowler","February 11, 1940","Pittsburgh","Pennsylvania","Pittsburgh","Pennsylvania","Saint Francis University",40.44062,-79.99589,40.44062,-79.99589,"Saint Francis University",41.53309,-88.09728,"Pittsburgh Pennsylvania","Pittsburgh Pennsylvania",14,18,5,"United States of America","United States of America","Americas","Americas","Greensboro, North Carolina","","","","","","","","","","","","","","","",36.07264,-79.79198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1969-70","1969-70"
"Calvin Garrett","July 11, 1956","Parsons","Tennessee","Nashville","Tennessee","Oral Roberts University",35.64979,-88.1267,36.16589,-86.78444,"Oral Roberts University",36.0507,-95.95422,"Parsons Tennessee","Nashville Tennessee",1,7,8,"United States of America","United States of America","Americas","Americas","Houston Texas","Los Angeles California","","","","","","","","","","","","","","",29.76328,-95.36327,34.05223,-118.24368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1980-81","1983-84"
"Calvin Graham","June 7, 1944","none","none","New York","New York","Gannon University",NA,NA,40.71427,-74.00597,"Gannon University",42.12784,-80.087,"none none","New York New York",677,209,1,"none","United States of America","none","Americas","Pittsburgh Pennsylvania","","","","","","","","","","","","","","","",40.44062,-79.99589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1967-68","1967-68"
"Calvin Murphy","May 9, 1948","Norwalk","Connecticut","Norwalk","Connecticut","Niagara University",41.1176,-73.4079,41.1176,-73.4079,"Niagara University",43.13867,-79.03893,"Norwalk Connecticut","Norwalk Connecticut",1,1,11,"United States of America","United States of America","Americas","Americas","San Diego California","Houston Texas","","","","","","","","","","","","","","",32.71533,-117.15726,29.76328,-95.36327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970-71","1982-83"
"Calvin Natt","January 8, 1957","Monroe","Louisiana","Bastrop","Louisiana","University of Louisiana at Monroe",32.50931,-92.1193,32.75625,-91.87235,"University of Louisiana at Monroe",32.52771,-92.07449,"Monroe Louisiana","Bastrop Louisiana",9,4,6,"United States of America","United States of America","Americas","Americas","East Rutherford New Jersey","Portland Oregon","Denver Colorado","San Antonio Texas","Indianapolis Indiana","","","","","","","","","","","",40.83399,-74.09709,45.52345,-122.67621,39.73915,-104.9847,29.42412,-98.49363,39.76838,-86.15804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1979-80","1989-90"
"Campy Russell","January 12, 1952","Jackson","Tennessee","Pontiac","Michigan","University of Michigan",35.61452,-88.81395,42.63892,-83.29105,"University of Michigan",42.84031,-84.47982,"Jackson Tennessee","Pontiac Michigan",1,3,42,"United States of America","United States of America","Americas","Americas","Cleveland Ohio","New York New York","Cleveland Ohio","","","","","","","","","","","","","",41.4995,-81.69541,40.71427,-74.00597,41.4995,-81.69541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1974-75","1984-85"
"Carey Scurry","December 4, 1962","New York","New York","New York","New York","Long Island University",40.71427,-74.00597,40.71427,-74.00597,"Long Island University",40.69061,-73.99764,"New York New York","New York New York",205,209,22,"United States of America","United States of America","Americas","Americas","Salt Lake City Utah","New York New York","","","","","","","","","","","","","","",40.76078,-111.89105,40.71427,-74.00597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1985-86","1987-88"
"Carl Bailey","April 23, 1958","Birmingham","Alabama","Birmingham","Alabama","Tuskegee University",33.52066,-86.80249,33.52066,-86.80249,"Tuskegee University",32.42403,-85.69162,"Birmingham Alabama","Birmingham Alabama",23,19,2,"United States of America","United States of America","Americas","Americas","Portland Oregon","","","","","","","","","","","","","","","",45.52345,-122.67621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1981-82","1981-82"
"Carl Braun","September 25, 1927","New York","New York","Garden City","New York","Colgate University",40.71427,-74.00597,40.72677,-73.6343,"Colgate University",42.81729,-75.53573,"New York New York","Garden City New York",205,1,4,"United States of America","United States of America","Americas","Americas","New York New York","Boston Massachusetts","","","","","","","","","","","","","","",40.71427,-74.00597,42.35843,-71.05977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1947-48","1961-62"
"Carl Fuller","January 10, 1946","St. Augustine","Florida","Saint Augustine","Florida","Bethune-Cookman College",29.89469,-81.31452,29.89469,-81.31452,"Bethune-Cookman College",29.21026,-81.03506,"St. Augustine Florida ","Saint Augustine Florida",1,1,3,"United States of America","United States of America","Americas","Americas","Miami Florida","","","","","","","","","","","","","","","",25.77427,-80.19366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970-71","1971-72"
"Carl Henry","August 16, 1960","Hollis","Oklahoma","Oklahoma City","Oklahoma","University of Kansas",34.68839,-99.91205,35.46756,-97.51643,"University of Kansas",38.8134,-97.60949,"Hollis Oklahoma","Oklahoma City Oklahoma",1,9,60,"United States of America","United States of America","Americas","Americas","Sacramento California","","","","","","","","","","","","","","","",38.58157,-121.4944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1985-86","1985-86"
"Carl Herrera","December 14, 1966","Trinidad","Trinidad and Tobago","Caracas","Venezuela","University of Houston",11,-61,10.48801,-66.87919,"University of Houston",29.72081,-95.34335,"Trinidad Trinidad and Tobago","Caracas Venezuela",1,1,29,"Trinidad and Tobago","Venezuela","Caribbean","Americas","Houston Texas","San Antonio Texas","Vancouver Canada","Denver Colorado","","","","","","","","","","","","",29.76328,-95.36327,29.42412,-98.49363,49.24966,-123.11934,39.73915,-104.9847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1991-92","1998-99"
"Carl Kilpatrick","May 16, 1956","Bastrop","Louisiana","Bastrop","Louisiana","University of Louisiana at Monroe",32.75625,-91.87235,32.75625,-91.87235,"University of Louisiana at Monroe",32.52771,-92.07449,"Bastrop Louisiana","Bastrop Louisiana",3,4,6,"United States of America","United States of America","Americas","Americas","Salt Lake City Utah","","","","","","","","","","","","","","","",40.76078,-111.89105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1979-80","1979-80"
"Carl Landry","September 19, 1983","Milwaukee","Wisconsin","Milwaukee","Wisconsin","Purdue University",43.0389,-87.90647,43.0389,-87.90647,"Purdue University",40.42809,-86.92251,"Milwaukee Wisconsin","Milwaukee Wisconsin",20,16,33,"United States of America","United States of America","Americas","Americas","Houston Texas","Sacramento California","Sacramento California","New Orleans Louisiana","Oakland California","Sacramento California","","","","","","","","","","",29.76328,-95.36327,38.58157,-121.4944,38.58157,-121.4944,29.95465,-90.07507,37.80437,-122.2708,38.58157,-121.4944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-08","2013-14"
"Carl McNulty","February 14, 1930","none","none","Indianapolis","Indiana","Purdue University",NA,NA,39.76838,-86.15804,"Purdue University",40.42809,-86.92251,"none none","Indianapolis Indiana",677,35,33,"none","United States of America","none","Americas","Milwaukee Wisconsin","","","","","","","","","","","","","","","",43.0389,-87.90647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1954-55","1954-55"
"Carl Meinhold","March 29, 1926","none","none","none","none","Long Island University",NA,NA,NA,NA,"Long Island University",40.69061,-73.99764,"none none","none none",677,684,22,"none","none","none","none","Baltimore Maryland","Chicago Illinois","Providence Rhode Island","","","","","","","","","","","","","",39.29038,-76.61219,41.85003,-87.65005,41.82399,-71.41283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1947-48","1948-49"
"Carl Nicks","October 6, 1958","Chicago","Illinois","Chicago","Illinois","Indiana State University",41.85003,-87.65005,41.85003,-87.65005,"Indiana State University",40.41226,-86.93668,"Chicago Illinois","Chicago Illinois",118,107,7,"United States of America","United States of America","Americas","Americas","Denver Colorado","Salt Lake City Utah","Cleveland Ohio","","","","","","","","","","","","","",39.73915,-104.9847,40.76078,-111.89105,41.4995,-81.69541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1980-81","1982-83"
"Carl Shaeffer","October 25, 1924","Delphi","Indiana","none","none","University of Alabama",40.58754,-86.67501,NA,NA,"University of Alabama",33.20944,-87.54149,"Delphi Indiana","none none",1,684,25,"United States of America","none","Americas","none","Indianapolis Indiana","","","","","","","","","","","","","","","",39.76838,-86.15804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1949-50","1950-51"
"Carl Thomas","October 3, 1969","Dayton","Ohio","Lansing","Michigan","Eastern Michigan University",39.75895,-84.19161,42.73254,-84.55553,"Eastern Michigan University",42.24698,-83.62272,"Dayton Ohio","Lansing Michigan",20,7,11,"United States of America","United States of America","Americas","Americas","Sacramento California","Cleveland Ohio","Oakland California","Orlando Florida","Cleveland Ohio","","","","","","","","","","","",38.58157,-121.4944,41.4995,-81.69541,37.80437,-122.2708,28.53834,-81.37924,41.4995,-81.69541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1991-92","1997-98"
"Carldell Johnson","January 28, 1983","New Orleans","Louisiana","New Orleans","Louisiana","University of Alabama at Birmingham",29.95465,-90.07507,29.95465,-90.07507,"University of Alabama at Birmingham",33.50483,-86.79999,"New Orleans Louisiana","New Orleans Louisiana",25,15,8,"United States of America","United States of America","Americas","Americas","New Orleans Louisiana","","","","","","","","","","","","","","","",29.95465,-90.07507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2011-12","2011-12"
"Carlos Arroyo","July 30, 1979","Fajardo","Puerto Rico","Fajardo","Puerto Rico","Florida International University",18.32579,-65.65238,18.32579,-65.65238,"Florida International University",25.75427,-80.382,"Fajardo Puerto Rico","Fajardo Puerto Rico",2,1,2,"Puerto Rico","Puerto Rico","Caribbean","Caribbean","Toronto Canada","Denver Colorado","Salt Lake City Utah","Detroit Michigan","Detroit Michigan","Orlando Florida","Miami Florida","Miami Florida","Boston Massachusetts","","","","","","","",43.70011,-79.4163,39.73915,-104.9847,40.76078,-111.89105,42.33143,-83.04575,42.33143,-83.04575,28.53834,-81.37924,25.77427,-80.19366,25.77427,-80.19366,42.35843,-71.05977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2001-02","2010-11"
"Carlos Boozer","November 20, 1981","Aschaffenburg","Germany","Juneau","Alaska","Duke University",49.97704,9.15214,58.30194,-134.41972,"Duke University",36.00153,-78.94001,"Aschaffenburg Germany","Juneau Alaska",1,1,59,"Germany","United States of America","Europe","Americas","Cleveland Ohio","Salt Lake City Utah","Chicago Illinois","","","","","","","","","","","","","",41.4995,-81.69541,40.76078,-111.89105,41.85003,-87.65005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2002-03","2013-14"
"Carlos Clark","August 10, 1960","Somerville","Tennessee","Somerville","Tennessee","University of Mississippi",35.2437,-89.35007,35.2437,-89.35007,"University of Mississippi",34.38238,-89.53988,"Somerville Tennessee","Somerville Tennessee",1,1,8,"United States of America","United States of America","Americas","Americas","Boston Massachusetts","","","","","","","","","","","","","","","",42.35843,-71.05977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1983-84","1984-85"
"Carlos Delfino","August 29, 1982","Santa Fe","Argentina","none","none","none",-31.63333,-60.7,NA,NA,"",NA,NA,"Santa Fe Argentina","none none",2,684,0,"Argentina","none","Americas","none","Detroit Michigan","Toronto Canada","Milwaukee Wisconsin","Houston Texas","","","","","","","","","","","","",42.33143,-83.04575,43.70011,-79.4163,43.0389,-87.90647,29.76328,-95.36327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2004-05","2012-13"
"Carlos Rogers","February 6, 1971","Detroit","Michigan","Detroit","Michigan","Tennessee State University",42.33143,-83.04575,42.33143,-83.04575,"Tennessee State University",36.14811,-86.80305,"Detroit Michigan","Detroit Michigan",61,61,18,"United States of America","United States of America","Americas","Americas","Oakland California","Toronto Canada","Portland Oregon","Houston Texas","Indianapolis Indiana","","","","","","","","","","","",37.80437,-122.2708,43.70011,-79.4163,45.52345,-122.67621,29.76328,-95.36327,39.76838,-86.15804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1994-95","2001-02"
"Carlos Terry","June 22, 1956","Lexington","North Carolina","Lexington","North Carolina","Winston-Salem State University",33.90233,-81.27219,33.90233,-81.27219,"Winston-Salem State University",36.0918,-80.22616,"Lexington North Carolina","Lexington North Carolina",1,1,6,"United States of America","United States of America","Americas","Americas","Washington District of Columbia","","","","","","","","","","","","","","","",38.89511,-77.03637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1980-81","1982-83"
"Carlton McKinney","October 21, 1964","San Diego","California","Nixon","Texas","Southern Methodist University",32.71533,-117.15726,29.26746,-97.76444,"Southern Methodist University",32.8379,-96.78306,"San Diego California","Nixon Texas",12,1,12,"United States of America","United States of America","Americas","Americas","Los Angeles California","New York New York","","","","","","","","","","","","","","",34.05223,-118.24368,40.71427,-74.00597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1989-90","1991-92"
"Carmelo Anthony","May 29, 1984","New York","New York","Mouth of Wilson","Virginia","Syracuse University",40.71427,-74.00597,36.58957,-81.33649,"Syracuse University",43.03784,-76.13465,"New York New York","Mouth of Wilson Virginia",205,23,41,"United States of America","United States of America","Americas","Americas","Denver Colorado","New York New York","","","","","","","","","","","","","","",39.73915,-104.9847,40.71427,-74.00597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2003-04","2013-14"
"Caron Butler","March 13, 1980","Racine","Wisconsin","Pittsfield","Maine","University of Connecticut",42.72613,-87.78285,44.78256,-69.38338,"University of Connecticut",41.31121,-72.92649,"Racine Wisconsin","Pittsfield Maine",4,8,34,"United States of America","United States of America","Americas","Americas","Miami Florida","Los Angeles California","Washington District of Columbia","Dallas Texas","Los Angeles California","Milwaukee Wisconsin","Oklahoma City Oklahoma","","","","","","","","","",25.77427,-80.19366,34.05223,-118.24368,38.89511,-77.03637,32.78306,-96.80667,34.05223,-118.24368,43.0389,-87.90647,35.46756,-97.51643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2002-03","2013-14"
